country,lat,long,confirmed,deaths,recovered,color
Kenya,[-0.0236],[37.9062],0.6817192482893412,0.06778566907592495,0.8617725445769402,"[0.6702152735179725, 0.0655188815188288, 0.8512538872663576, 0.9999999999999998]"
"Korea, South",[35.907757],[127.766922],0.6565163306557947,0.05922384121543594,0.768700736551971,"[0.6683296404034118, 0.07700017654764256, 0.7543981583822088, 0.9999999999999998]"
Kosovo,[42.602636],[20.902977],0.6443195422030272,0.1004690864876707,0.8581142893943364,"[0.6198327541666129, 0.08052188047839676, 0.8302075814776567, 0.9999999999999998]"
Kuwait,[29.31166],[47.481766],0.7082286961101293,0.024256583051564827,0.9803667454890977,"[0.6801104847387547, 0.03382405859167974, 0.9751208354940316, 0.9999999999999998]"
Kyrgyzstan,[41.20438],[74.766098],0.6713682122561426,0.06505580233489376,0.9561467521331378,"[0.6889406262883173, 0.04810874733880418, 0.9497532840596326, 0.9999999999999998]"
Laos,[19.85627],[102.495496],0.22197122535121244,0.0,0.9822979982665411,"[0.20808597757743602, 0.012350249966470729, 0.9404759002696657, 0.9999999999999997]"
Latvia,[56.8796],[24.6032],0.6321071655436541,0.062008079186385116,0.7760153281160076,"[0.632806947185466, 0.07555790730848554, 0.769798853594062, 0.9999999999999998]"
Lebanon,[33.8547],[35.8623],0.7207099967373098,0.031212205094343772,0.7678747136331993,"[0.7161505217677387, 0.08043380010429231, 0.7565472101934063, 0.9999999999999998]"
Lesotho,[-29.61],[28.2336],0.47944150472855424,0.07874212512781309,0.5525001134984733,"[0.4790807876112185, 0.11150127711719825, 0.6169818939898354, 0.9999999999999997]"
Liberia,[6.428055],[-9.429499],0.44447868548997654,0.17888987061223988,0.8402268618765028,"[0.468963183958671, 0.08301060250978985, 0.7647924771588008, 0.9999999999999998]"
Libya,[26.3351],[17.228331],0.6841658011725514,0.05748165716151787,0.7883602214172727,"[0.6872258703332121, 0.08406086185164893, 0.7974286377597942, 0.9999999999999998]"
Liechtenstein,[47.14],[9.55],0.45714051975191483,0.06887356134071847,0.8655071370478118,"[0.4566164295013447, 0.053057906980116726, 0.8517272861678846, 0.9999999999999998]"
